tconst	averageRating	numVotes
tt10126434	5.7	3005
tt10126462	9.0	245
tt10126628	4.3	20
tt10127228	4.3	65
tt10127302	7.2	10
tt10127546	9.1	188
tt10127628	5.9	63
tt10127634	2.4	7
tt10127696	6.1	12
tt10128920	4.4	282
tt10129040	5.7	202
tt10131028	4.8	45
tt10131904	4.8	57
tt10132068	6.0	67
tt10132488	7.2	30
tt10132976	5.9	614
tt10133066	9.0	705
tt10133076	6.5	8
tt10133278	7.5	13
tt10133680	6.6	29
tt10134522	5.0	5
tt10136364	4.7	23
tt10136434	6.0	69
tt10136606	7.3	38
tt10136880	4.9	299
tt10140138	3.5	52
tt10140922	6.2	453
tt10143114	5.3	147
tt10143308	4.9	12
tt10143498	6.2	1463
tt10145122	6.7	3948
tt10146198	6.4	95
tt10146204	6.0	13
tt10146208	6.0	192
tt10147382	6.5	1467
tt10147910	5.7	518
tt10149868	5.3	735
tt10151656	6.1	45
tt10152200	2.0	137
tt10152582	5.3	6
tt10152722	6.8	88
tt10152772	5.5	10
tt10153510	7.1	55
tt10153730	6.3	11
tt10155126	5.9	7
tt10155342	6.8	864
tt10156112	7.4	884
tt10156122	5.6	16
tt10157470	3.0	10
tt10157748	5.5	13
tt10157810	4.7	383
tt10157842	6.3	139
tt10160650	9.3	54
tt10160742	8.8	268
tt10160896	7.5	30
tt10161886	5.9	23956
tt10162730	3.6	71
tt10165168	7.4	27
tt10165624	3.3	139
tt10166836	5.5	6
tt10167422	6.3	241
tt10168672	4.6	1338
tt10169754	7.1	39
tt10170038	5.6	26
tt10172308	6.6	29
tt10176320	7.4	47
tt10178280	6.5	10
tt10178860	3.7	12
tt10181594	5.3	49
tt10183542	2.9	853
tt10183616	5.5	510
tt10183682	4.6	110
tt10183816	5.3	15087
tt10187146	7.5	30
tt10187378	6.6	29
tt10187686	7.8	1027
tt10187766	4.1	203
tt10187780	2.2	9
tt10187792	6.4	68
tt10187800	4.4	101
tt10188074	3.0	19
tt10188156	4.5	10
tt10188328	6.0	38
tt10188398	4.7	142
tt10189300	7.7	275
tt10189466	6.1	154
tt10189514	9.1	83325
tt10189540	5.7	53
tt10192466	6.8	5
tt10192598	6.1	28
tt10192704	6.4	615
tt10195210	5.9	394
tt10195336	7.4	8
tt10195452	6.8	2891
tt10195976	5.8	154
