**movies.txt** \- Contains the following information for titles:

-   tconst (string) - alphanumeric unique identifier of the title
-   primaryTitle (string) the more popular title / the title used by the filmmakers on promotional materials at the point of release
-   startYear (YYYY) represents the release year of a title. In the case of TV Series, it is the series start year
-   genre1-genre3 includes up to three genres associated with the title

tconst	primaryTitle	startYear	genre1	genre2	genre3
tt10027474	Night of the Dead Geisha	2018	Comedy	Horror	
tt10027720	Ringolevio	2020	Drama		
tt10027848	The Road To Hippie	2019	Comedy		
tt10028196	Laal Singh Chaddha	2021	Comedy	Drama	War
tt10028708	Stay	2018	Drama	Romance	
tt10029484	MobSense	2022	Comedy		
tt10031940	Jack Lives Alone	2019	Drama	Thriller	
tt10032266	Asia	2020	Drama		
tt10032342	Cosas imposibles	2021	Drama		
tt10032574	Pure White	2021	Drama		
tt10033760	Pahil Paul Jivanch	2017	Drama		
tt10033822	Premay Namaha	2017	Romance		
tt10033852	Rangeela Raybaa	2017	Romance		
tt10033904	Spandan What is Relationship	2017	Romance		
tt10033908	Lucky One	2019	Drama		
tt10034136	Tatva	2017	Drama		
tt10034168	Ubuntu	2017	Drama		
tt10034272	Mukherjee Dar Bou	2019	Drama	Family	
tt10035120	A Short History of a Few Bad Things	2018	Drama		
tt10035478	Piola	2019	Drama		
tt10036406	Mbretëria	2017	Drama		
tt10036992	Death of a Traveling Life Insurance Salesman	2019	Drama		
tt10037014	Fear of Rain	2021	Drama	Horror	Thriller
tt10037428	Los atardeceres rojos	2019	Drama		
tt10037562	The 45	2016	Drama	Thriller	
tt10037834	Mle Kyu	2019	Comedy	Drama	
tt10037836	Killer's Whisper	2019	Drama	Horror	Thriller
tt10037934	One Moment	2021	Comedy		
tt10038080	Delta Byrd Sings	2019	Drama		
tt10038660	Our Lady of San Juan, Four Centuries of Miracles	2021	Drama	History	
tt10038708	Flatmates	2019	Drama		
tt10038738	Shao nv tian shi	2017	Comedy	Romance	
tt10039014	Old Is Gold	2019	Comedy	Drama	
tt10039064	Muttayikkallanum Mammaliyum	2019	Drama		
tt10039338	Once a Year on Blackpool Sands	2020	Drama		
tt10039472	Premak Basaat	2018	Romance		
tt10039524	Luxor	2020	Drama	Romance	
tt10039546	Suporter Masuk Pesantren	2019	Comedy	Drama	
tt10039584	A Escritora	2020	Drama		
tt10040094	Perspectives of the Mind	2019	Animation	Comedy	Drama
tt10041978	Gonarezhou: The Movie	2020	Drama		
tt10042482	Falling Stars	2022	Drama	Horror	
tt10042590	El verano que vivimos	2020	Drama	Romance	
tt10042622	They Who Surround Us	2020	Drama		
tt10042678	Barcley	2017	Drama		
tt10043646	Odd Love	2019	Comedy	Romance	
tt10043660	Engaged in Vegas	2021	Comedy		
tt10043742	Jiyan	2019	Drama		
tt10043746	Humba Dreams	2019	Drama		
tt10044220	Zagreb Equinox	2019	Comedy		
tt10044704	Between Maybes	2019	Drama	Romance	
tt10044934	Bumi Itu Bulat	2019	Drama		
tt10044946	A Trip with Your Wife	2021	Comedy		
tt10045134	Inside the Walls	2017	Drama	Horror	Mystery
tt10045266	Butsaagui Amlalt	2019	Drama		
tt10045434	The Door	2019	Comedy	Drama	
tt10045688	Gail's New Boyfriend	2019	Comedy	Romance	
tt10046208	La vida en común	2019	Drama	Mystery	
tt10046522	Sinner	2019	Comedy	Drama	
tt10046694	Fabulous	2019	Comedy		
tt10047464	The Christmas Spirit	2022	Comedy	Thriller	
tt10047904	Darkling	2021	Drama		
tt10047958	Bad President	2021	Comedy	Fantasy	
tt10048376	Ya podaryu tebe pobedu	2019	Drama		
tt10048408	La ola de crímenes	2017	Drama		
tt10048976	When Rumi meets Francis	2017	Drama		
tt10049152	Pur laine	2018	Comedy	Drama	
tt10049176	Kids of Wuzhumuqin Town	2016	Drama	Family	
